Date,Price,Notes
5/20/2018,54000,Intro
6/25/2018,54000,Open to all orders
6/26/2018,53000,1K price cut
8/2/2018,54000,
9/9/2018,54000,
9/10/2018,55000,1K price increase
10/17/2018,55000,
10/18/2018,54000,Midrange 260 introduced at 45K
10/23/2018,54000,
10/24/2018,53000,"Midrange price increase, LR price cut"
12/31/2018,53000,
1/1/2019,51000,New year prices
2/4/2019,49900,
2/5/2019,49900,
2/27/2019,49900,
2/28/2019,47000,Intro base model 35K short range
3/20/2019,47000,
3/21/2019,48500,Increases on LR models
4/10/2019,48500,
4/11/2019,49500,
5/14/2019,49900,
7/13/2019,49900,
7/14/2019,47990,Stops all other lines. Keeps only a few options
11/17/2019,47990,
11/18/2019,48490,
12/12/2019,48990,
4/30/2020,48990,
5/1/2020,46990,Pandemic
2/9/2021,46990,
2/10/2021,45990,
3/10/2021,45990,
3/11/2021,46990,
4/6/2021,46990,
4/7/2021,47490,
5/5/2021,47490,
5/6/2021,48490,
5/21/2021,48990,
7/21/2021,48990,
7/22/2021,49990,
11/3/2021,49990,
11/4/2021,50990,
3/8/2022,50990,
3/9/2022,51990,
4/4/2022,51990,
4/5/2022,54490,
4/6/2022,55990,
6/13/2022,56990,
6/14/2022,57990,
5/2/2023,47240,"IMPORTANT - after price experiments, reintroduced"
5/31/2023,47420,Excess inventory sales
10/5/2023,45990,
1/10/2024,45990,Highland intro
2/4/2024,46990,Model Y was more affordable than 3 because of IRA act
2/13/2024,47490,
2/22/2024,47740,
6/16/2024,47490,
