fiscal_date_ending,last_quarter,quarter_ending_price,earnings_surprise_percent,price_after_90_days,reported_eps,estimated_eps,earnings_surprise,reported_date
2025-06-30,2025-06-30,205.17,11.3475,205.17,1.57,1.41,0.16,2025-07-31
2025-03-31,2025-03-31,221.86,1.8519,205.17,1.65,1.62,0.03,2025-05-01
2024-12-31,2024-12-31,249.84,2.5641,221.86,2.4,2.34,0.06,2025-01-30
2024-09-30,2024-09-30,232.2,2.1053,251.61,0.97,0.95,0.02,2024-10-31
2024-06-30,2024-06-30,215.76,4.4776,227.01,1.4,1.34,0.06,2024-08-01
2024-03-31,2024-03-31,169.02,2.0,209.66,1.53,1.5,0.03,2024-05-02
2023-12-31,2023-12-31,191.15,3.3175,170.46,2.18,2.11,0.07,2024-02-01
2023-09-30,2023-09-30,169.76,5.036,191.15,1.46,1.39,0.07,2023-11-02
2023-06-30,2023-06-30,192.07,5.8824,169.25,1.26,1.19,0.07,2023-08-03
2023-03-31,2023-03-31,163.06,6.2937,187.73,1.52,1.43,0.09,2023-05-04
2022-12-31,2022-12-31,128.28,-3.5897,163.06,1.88,1.95,-0.07,2023-02-02
2022-09-30,2022-09-30,136.22,1.5748,127.97,1.29,1.27,0.02,2022-10-27
2022-06-30,2022-06-30,134.58,4.3478,147.69,1.2,1.15,0.05,2022-07-28
2022-03-31,2022-03-31,171.62,6.2937,137.05,1.52,1.43,0.09,2022-04-28
2021-12-31,2021-12-31,174.31,11.1111,171.62,2.1,1.89,0.21,2022-01-27
2021-09-30,2021-09-30,138.7,0.0,176.08,1.24,1.24,0.0,2021-10-28
2021-06-30,2021-06-30,134.05,28.7129,139.1,1.3,1.01,0.29,2021-07-27
2021-03-31,2021-03-31,119.35,42.8571,133.43,1.4,0.98,0.42,2021-04-28
2020-12-31,2020-12-31,129.45,18.3099,119.35,1.68,1.42,0.26,2021-01-27
2020-09-30,2020-09-30,112.79,4.2857,131.58,0.73,0.7,0.03,2020-10-29
